D_TRADE,N_SECURITY,OPEN_PRC,CLOSE_PRC,LOW_PRC,HIGH_PRC,DVD_YIELD,BOOK_VALUE,PB_RATIO,PE_RATIO,Q_VOLUME,MKT_CAP,ADJUST_FACTOR,TURNOVER,I_MARKET,I_INDUSTRY,I_SECTOR,SENTIMENT_AVG,SENTIMENT_SUM,Baro_Index,Fundamental_Score,Technic_Score,Quant_Score,Total_score,Rank,SET_CLOSE,SET50_CLOSE,SET100_CLOSE,SECTOR_OPEN,SECTOR_CLOSE,SECTOR_LOW,SECTOR_HIGH,SECTOR_YIELD,SECTOR_TURNOVER,SECTOR_MKT_YIELD,SECTOR_MKT_PE,SECTOR_MKT_CAP,SECTOR_MKT_PBV,ORD_IMB,ORD_IMB_R,Q_SHORT,A_SHORT,EBIT,DEPRE,CASH,SH_INV,DEBT,M_NVDR_BUY,M_NVDR_SELL,Q_NVDR_BUY,Q_NVDR_SELL,OPEN_INTEREST,F_Q_VOLUME,NET_SBL_VALUE,TOTAL_NOMINAL_SSF,TOTAL_VALUE_DW_STOCK50_CALL,TOTAL_VALUE_DW_STOCK50_PUT,TOTAL_VALUE_DW_SET50_CALL,TOTAL_VALUE_DW_SET50_PUT,TOP15_NET_NVDR_VALUE,NET_VOLUME_CONTRACTS_SET50_BY_FOREIGN,NET_VALUE_STOCK_BY_FOREIGN
2025-06-17 00:00:00.000,"WSOL                ",0.31,0.31,0.3,0.32,0,0.08,4.11,0,673400,753848153.78,1,0.0299999993294477,A,7,5,0,0,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,19849.53,19929.94,19769.83,20203.62,3.52,142621936,3.52,15.39,1090656505658.4,1.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WPH                 ",7.9,7.85,7.8,7.95,0.0299999993294477,2.51,3.13,15.83,319100,5495973266.55,1,0.0500000007450581,A,7,13,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,4459.00,4467.49,4455.32,4514.92,3.40,50145163,3.40,20.93,651436403481.22,2.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15700,396230,2000,50200,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WP                  ",3.26,3.28,3.24,3.36,9.14999961853027,2.65,1.24,11.18,37100,1674455744,1,0.00999999977648258,A,6,9,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,15277.78,15128.54,15073.65,15319.08,5.02,289655359,5.02,12.43,2798519459525.21,0.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2294,2670,700,800,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WORK                ",4.16,4.16,4.12,4.2,0,9.4,0.44,0,202500,1836891617.6,1,0.0500000007450581,A,7,10,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,22.01,21.99,21.98,22.32,1.82,127649975,1.82,0.00,111072980007.76,1.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,832,NULL,200,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WINNER              ",1.98,1.99,1.98,1.99,7.53999996185303,1.09,1.82,10.6,67500,1193949577.38,1,0.00999999977648258,S,56,64,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WINMED              ",1.14,1.13,1.1,1.14,2.19000005722046,1.6,0.71,14,47300,452000000,1,0.00999999977648258,S,57,65,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WINDOW              ",0.81,0.8,0.8,0.83,3.75,1.03,0.78,16.91,411800,710400000,1,0.0500000007450581,A,5,3,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,4622.21,4608.30,4585.50,4642.41,4.60,12273781,4.60,17.66,349572404431.29,0.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WIN                 ",0.37,0.39,0.37,0.39,0,0.69,0.57,15.26,10700,218846167.8,1,0,A,5,25,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,132.54,133.45,132.43,134.56,5.83,277458636,5.83,10.21,612263218063.69,0.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WIIK                ",0.91,0.88,0.88,0.92,4.55000019073486,2.54,0.35,14.89,179500,737161094.56,1,0.0199999995529652,A,5,3,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,4622.21,4608.30,4585.50,4642.41,4.60,12273781,4.60,17.66,349572404431.29,0.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WICE                ",2.86,2.82,2.82,2.88,4.96000003814697,2.18,1.29,15.67,471800,1838356590,1,0.0700000002980232,A,7,28,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,164.42,166.83,164.19,168.23,3.48,182118835,3.48,14.71,751989483932.62,1.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52242,15022,18400,5300,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
