ReportingDate,user_id,Instrument,Amount,BuySell,Price,QuotedValue
2025-06-04 00:00:00.000,113999,"COM7                ",3900.000000,Buy,21.157933,-73320.00
2025-06-04 00:00:00.000,113999,"CPF                 ",3000.000000,Buy,25.758147,-75000.00
2025-06-04 00:00:00.000,113999,"HANA                ",4300.000000,Buy,18.049493,-76540.00
2025-06-04 00:00:00.000,113999,"PRM                 ",13100.000000,Buy,5.637378,-75325.00
2025-06-04 00:00:00.000,113999,"STECON              ",11000.000000,Buy,7.392090,-81400.00
2025-06-04 00:00:00.000,113999,"TVO                 ",3200.000000,Buy,22.485103,-69440.00
2025-06-04 00:00:00.000,113999,"WHA                 ",25500.000000,Buy,3.134399,-80070.00
2025-06-04 00:00:00.000,114999,"BTG                 ",2000.000000,Buy,24.085405,-45600.00
2025-06-04 00:00:00.000,114999,"COM7                ",2400.000000,Buy,21.158004,-45120.00
2025-06-04 00:00:00.000,114999,"CPF                 ",1900.000000,Buy,25.728895,-47500.00
2025-06-04 00:00:00.000,114999,"HANA                ",2700.000000,Buy,18.250037,-48060.00
2025-06-04 00:00:00.000,114999,"PRM                 ",8300.000000,Buy,5.694935,-47725.00
2025-06-04 00:00:00.000,114999,"STECON              ",6900.000000,Buy,7.542425,-51060.00
2025-06-04 00:00:00.000,114999,"TVO                 ",2000.000000,Buy,22.406455,-43400.00
2025-06-04 00:00:00.000,114999,"WHA                 ",16100.000000,Buy,3.141035,-50554.00
2025-06-04 00:00:00.000,115999,"BTG                 ",2000.000000,Buy,24.237440,-45600.00
2025-06-04 00:00:00.000,115999,"COM7                ",2400.000000,Buy,21.157908,-45120.00
2025-06-04 00:00:00.000,115999,"CPF                 ",1800.000000,Buy,25.708439,-45000.00
2025-06-04 00:00:00.000,115999,"HANA                ",2700.000000,Buy,18.250026,-48060.00
2025-06-04 00:00:00.000,115999,"PRM                 ",8200.000000,Buy,5.665538,-47150.00
2025-06-04 00:00:00.000,115999,"STECON              ",6800.000000,Buy,7.303118,-50320.00
2025-06-04 00:00:00.000,115999,"TVO                 ",2000.000000,Buy,22.484170,-43400.00
2025-06-04 00:00:00.000,115999,"WHA                 ",15900.000000,Buy,3.141068,-49926.00
2025-06-04 00:00:00.000,116999,"BTG                 ",2000.000000,Buy,24.065990,-45600.00
2025-06-04 00:00:00.000,116999,"COM7                ",2400.000000,Buy,21.157908,-45120.00
